Date,Year,Month,MonthName,MonthFullName,Quarter,QuarterNum,YearMonth,YearQuarter,WeekDay,DayOfYear,IsWeekend
2020-01-01,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Wednesday,1,0
2020-01-02,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Thursday,2,0
2020-01-03,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Friday,3,0
2020-01-04,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Saturday,4,1
2020-01-05,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Sunday,5,1
2020-01-06,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Monday,6,0
2020-01-07,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Tuesday,7,0
2020-01-08,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Wednesday,8,0
2020-01-09,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Thursday,9,0
2020-01-10,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Friday,10,0
2020-01-11,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Saturday,11,1
2020-01-12,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Sunday,12,1
2020-01-13,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Monday,13,0
2020-01-14,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Tuesday,14,0
2020-01-15,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Wednesday,15,0
2020-01-16,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Thursday,16,0
2020-01-17,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Friday,17,0
2020-01-18,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Saturday,18,1
2020-01-19,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Sunday,19,1
2020-01-20,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Monday,20,0
2020-01-21,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Tuesday,21,0
2020-01-22,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Wednesday,22,0
2020-01-23,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Thursday,23,0
2020-01-24,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Friday,24,0
2020-01-25,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Saturday,25,1
2020-01-26,2020,1,Jan,January,Q1,1,2020-01,2020-Q1,Sunday,26,1
